Nom_del_llibre,Autor,Any_edició,Idioma,Gènere
Em vaig enamorar d'ina caçadora,Steve Barlow,1997,Català,Aventures
En medio de la noche,Robert Cormier,1999,Castellano,Suspense
En Ranquet i els seus amics,Emili Teixidor,1994,Català,Aventura
Endrina y el secreto del peregrino,Concha López Naváez,1997,Castellano,Historico
Envia'ns un àngel,Rosa Font i Massot,1999,Català,Amistat
Esteros,Soerio Pereira Gomes,1988,Castellano,
Estudio en escarlata,Arthur Conan Doyle,2014,Castellano,Policiaca
Fatik y el juglar de Calcuta,Satyajit Ray,1988,Castellano,Novel·la. India.
Filo entra en acción,Christine Nöstlinger,2007,Castellano,Realismo/Policiaca
Filo entra en acción,Christine Nöstlinger,2006,Castellano,Realismo
Finis Mundi,Laura Gallego,1999,Castellano,Aventura
Flanagan de luxe,Andreu Martín Jaume Ribera,2006,Català,Detectives
Frena Càndida,Maite Carranza,1993,Català,
Fuente ovejuna,Félix Lope de Vega,1999,Castellano,Teatro
Gavin de Puiyet,Miquel Campins i Eritja,2008,Català,
Geprgina i les bruixes,Eduard Solà,1991,Català,Narración
Geronimo Stilton El regne perdut,Elisabetta Dami,2010,Català,Ficció. Aventures
Geronimo Stilton Regresp al reino de la fantasía,Elisabetta Dami,2009,Castellano,Ficció. Aventures
Geronimo Stilton VIAJE EN EL TIEMPO 4,Elisabetta Dami,2013,Castellano,Ficció
Geronimo Stilton: En el reino de la fantasía,Elisabetta Dami,2003,Castellano,Fantasía infantil
Geronimo Stilton: Las aventuras de Marco Polo,Elisabetta Dami,2014,Castellano,Ficción
Grandes esperanzas,Charles Dickens,2012,Castellano,Grandes esperanzas
Hasta lo que sea,Martha Humphreys,1996,Castellano,Ficción
Hem nadat a l'estany amb lluna plena,Raimon Esplugafreda,1991,Català,Crítica literaria
Hem nedat a l'estany amb lluna plena,Raimon Esplugafreda,1991,Català,
Historia de dos ciudades,Charles Dickes,2009,Castellano,Realista. Clàssica
Historia de una gaviota y del gato que le enseñó a volar,Luis Sepúlveda,2017,Castellano,Ficción
INU YASHA 10,Rumiko Takahashi,2003,Castellano,
INU YASHA 12,Rumiko Takahashi,2003,Castellano,
INU YASHA 13,Rumiko Takahashi,2003,Castellano,
INU YASHA 14,Rumiko Takahashi,2003,Castellano,
INU YASHA 15,Rumiko Takahashi,2003,Castellano,
INU YASHA 8,Rumiko Takahashi,2003,Castellano,
INU YASHA 9,Rumiko Takahashi,2003,Castellano,
Jaume I i el cavaller Albert,Joan Pellicer,2008,Català,
Jo tampoc em dic Flanagan,Amdreu Martín i  Jaume Ribera,2005,Català,
Juntos los tres,Lygia Bojunga Nunes,1989,Castellano,
L'4ss4ss1n4t d3l prof3ssor d3 m4t3m4t1qu3s,Jordi Sierra i Fabra,2006,Català,Novela
La crida salvatje,Jack London,1994,Català,Aventuras
La dama del alba,Alejandro Casona,1996,Castellano,Teatro
La Emperatriz de los Etéreos,Laura Gallego García,2007,Castellano,Literatura fantástica
"La Fede, la Soli, la Loli i el Panoli",M. Àngels Bogunyà,2009,Català,
La guerra de los mundos,H.G. Wells,1986,Castellano,Ficción
La historia interminable,Michael Ende,2013,Castellano,Literatura fantástica
La historia interminable,Michael Ende,2013,Castellano,Literatura fantástica
La imbècil,Mercè Company,1994,Català,
LA ISLA NEGRA,Herge,1984,Castellano,
